latitude,longitude
41.765745126,-87.588550162
41.95822425,-87.720397651
41.940490925,-87.799485474
41.742121373,-87.665658127
41.832405446,-87.653444728
41.865154549,-87.713930253
41.682234625,-87.653007122
42.014493615,-87.690227788
41.707724006,-87.534077677
41.964665839,-87.721600782
41.764776101,-87.676694732
41.808691226,-87.712405711
41.953401827,-87.748648437
41.962100976,-87.662336956
41.768102953,-87.644487
41.729074342,-87.563355262
41.878826986,-87.728974703
41.774624928,-87.680949573
41.782354575,-87.719094596
41.877080518,-87.726160106
41.881364879,-87.766542785
41.774401114,-87.599715793
41.657631913,-87.603406514
41.86692722,-87.715436748
41.849140945,-87.633055109
41.880801792,-87.625515824
41.917687211,-87.752178504
41.890770218,-87.722284319
41.980196946,-87.763515632
41.876514638,-87.696169804
41.883254323,-87.734904104
41.906410129,-87.712653635
41.89000579,-87.712279929
41.958088787,-87.704483084
41.96111977,-87.713821622
41.82891049,-87.614438175
41.932671001,-87.651910528
41.764110316,-87.721636532
41.921799743,-87.681447778
41.823641056,-87.603057627
41.711221197,-87.55176794
41.868079726,-87.632268373
41.942818016,-87.720872365
41.7734325,-87.672540855
41.867608211,-87.680298775
41.958495311,-87.736954429
41.768890957,-87.641355361
41.734728159,-87.611199118
41.741773713,-87.693791783
41.925406329,-87.651789407
41.771240376,-87.569915317
41.741510566,-87.592424836
41.766473561,-87.635963581
41.823182522,-87.632534564
41.983489107,-87.768333926
41.876351148,-87.666880865
41.977685231,-87.693077033
41.726153485,-87.651851618
41.779145093,-87.77642998
41.94645388,-87.72134484
41.923803884,-87.692814954
41.91025859,-87.732454998
41.954645841,-87.72764498
41.748649538,-87.612431997
41.730586816,-87.598617225
41.695924226,-87.648531208
41.774644879,-87.693278365
41.823443538,-87.7081871
41.852198325,-87.674377204
41.892146408,-87.649046949
41.881972364,-87.731677183
41.840748121,-87.685269347
41.817969217,-87.609215504
41.862332098,-87.720326813
41.773120341,-87.566637641
41.693711277,-87.619500953
41.753139244,-87.558472012
41.820979544,-87.601400265
41.974446713,-87.793957866
41.912903079,-87.704599839
41.906591907,-87.695249977
42.013006869,-87.678202696
41.823556849,-87.631367455
41.777703777,-87.604227953
41.933685674,-87.721466917
41.708613677,-87.630747875
41.745671537,-87.563710308
41.900783534,-87.667423965
41.869263674,-87.626193845
41.978900914,-87.670354668
41.862832799,-87.716970311
41.94822362,-87.722838751
41.95372698,-87.773133441
41.846859523,-87.617323885
41.746140855,-87.652406156
41.744980208,-87.657552215
41.894781044,-87.634944161
41.919535572,-87.729075751
41.909354711,-87.767360647
41.801124416,-87.685910818
41.922398472,-87.646232483
41.803550724,-87.61007474
41.975837637,-87.659853835
41.796515587,-87.598587153
41.904003566,-87.666185611
41.863072556,-87.625733427
41.830697249,-87.614476891
41.846963963,-87.726995491
41.945762209,-87.777434094
41.970188059,-87.716635122
41.692780068,-87.600611049
41.757630995,-87.585708249
41.913499486,-87.685996164
41.766840049,-87.610454227
41.880743391,-87.724472972
41.778416297,-87.686065944
41.887151764,-87.770858241
41.684465151,-87.654294243
41.862732369,-87.645627164
41.876073425,-87.734005399
41.771590534,-87.645791404
41.862501062,-87.706382411
41.772785449,-87.684685501
41.900351298,-87.762459221
41.712701718,-87.681814175
41.949688887,-87.762827958
41.848901215,-87.716138772
41.876581784,-87.76048603
41.818181272,-87.63414089
41.772598909,-87.571585542
41.701284863,-87.626927742
41.735049688,-87.615211053
41.989932813,-87.668496643
41.836138808,-87.61706176
41.694091497,-87.67156677
41.866133315,-87.657320488
41.777404624,-87.648368988
41.778923367,-87.70624024
41.740953572,-87.648620933
41.760252758,-87.562187291
41.949652123,-87.648667528
41.77487752,-87.671374872
41.903446578,-87.734399671
41.801636338,-87.707471206
41.7794439,-87.610781983
41.881944424,-87.634195294
41.79830999,-87.719628065
41.78495812,-87.620598031
41.811447374,-87.667488051
41.791513826,-87.58979575
41.911147276,-87.67626213
41.858622451,-87.672435446
41.867204947,-87.643247924
41.872910562,-87.63062942
41.714395088,-87.564596315
41.940837255,-87.654135523
41.763098893,-87.633390353
41.877580658,-87.737821162
41.917337229,-87.642425169
41.889918817,-87.751747153
41.878638996,-87.627691486
41.749502746,-87.601106068
41.779125969,-87.692724188
41.701850466,-87.682751321
41.775977874,-87.596097676
41.890819354,-87.712514447
41.940371657,-87.816603539
41.90089232,-87.720476073
41.90486704,-87.764413714
41.748835188,-87.614907186
42.016529519,-87.674214297
41.968498384,-87.703130477
41.686221066,-87.658409097
41.97268014,-87.734321483
41.750973348,-87.571093674
41.738503031,-87.585680998
41.984834043,-87.713102584
41.693460792,-87.636368365
41.74634568,-87.653627921
41.876965769,-87.657008055
41.702508728,-87.631389267
41.902961643,-87.665865852
41.682202359,-87.655441904
41.900887827,-87.754516465
41.882277438,-87.762407142
41.761640651,-87.606704317
41.946235999,-87.803345022
41.913461196,-87.76314702
41.962106197,-87.666057818
41.94379141,-87.747001297
41.873219626,-87.675868666
41.883228644,-87.764961923
41.833695118,-87.618175159
41.881693864,-87.652323905
41.8762118,-87.641006667
41.865739569,-87.704427025
41.901692505,-87.727502852
41.836332297,-87.714575208
41.699272376,-87.646243692
41.711513003,-87.651467894
41.943552694,-87.688162342
41.902978257,-87.665891392
41.803134164,-87.665461537
41.905371065,-87.659753703
41.926879391,-87.650766841
41.903522908,-87.730108383
41.890180418,-87.636992207
41.764349018,-87.673521113
41.883554448,-87.653247925
41.73457542,-87.579303942
41.755424915,-87.64780378
41.765090343,-87.600672271
41.9188631,-87.736923089
41.694968292,-87.62796351
41.883230736,-87.671109604
41.965547851,-87.736410649
41.874223242,-87.736005434
41.816295644,-87.639066105
42.007853667,-87.686008134
41.927457482,-87.806374185
41.772011702,-87.628344479
41.754288882,-87.571157063
41.906366413,-87.771868837
41.774734785,-87.700591292
