latitude,longitude
41.95822425,-87.720397651
41.940490925,-87.799485474
41.742121373,-87.665658127
41.865154549,-87.713930253
41.707724006,-87.534077677
41.764776101,-87.676694732
41.808691226,-87.712405711
41.962100976,-87.662336956
41.729074342,-87.563355262
41.782354575,-87.719094596
41.877080518,-87.726160106
41.657631913,-87.603406514
41.86692722,-87.715436748
41.917687211,-87.752178504
41.890770218,-87.722284319
41.876514638,-87.696169804
41.89000579,-87.712279929
41.958088787,-87.704483084
41.96111977,-87.713821622
41.769847658,-87.670022587
41.932671001,-87.651910528
41.764110316,-87.721636532
41.711221197,-87.55176794
41.942818016,-87.720872365
41.867608211,-87.680298775
41.741773713,-87.693791783
41.771240376,-87.569915317
41.741510566,-87.592424836
41.950944143,-87.685951963
41.983489107,-87.768333926
41.876351148,-87.666880865
41.977685231,-87.693077033
41.726153485,-87.651851618
41.954645841,-87.72764498
41.748649538,-87.612431997
41.774644879,-87.693278365
41.852198325,-87.674377204
41.892146408,-87.649046949
41.840748121,-87.685269347
41.862332098,-87.720326813
41.693711277,-87.619500953
41.860063726,-87.73722383
41.974446713,-87.793957866
41.823556849,-87.631367455
41.869263674,-87.626193845
41.862832799,-87.716970311
41.95372698,-87.773133441
41.744980208,-87.657552215
41.919535572,-87.729075751
41.801124416,-87.685910818
41.850235849,-87.638467988
41.849112854,-87.63520255
41.968234567,-87.728571616
41.7324899,-87.576822389
41.904003566,-87.666185611
41.830697249,-87.614476891
41.970188059,-87.716635122
41.692780068,-87.600611049
41.757630995,-87.585708249
41.913499486,-87.685996164
41.778416297,-87.686065944
41.771590534,-87.645791404
41.862501062,-87.706382411
41.772785449,-87.684685501
41.728003141,-87.62641165
41.949688887,-87.762827958
41.848901215,-87.716138772
41.876581784,-87.76048603
41.818181272,-87.63414089
41.701284863,-87.626927742
41.87529222,-87.72374996
41.989932813,-87.668496643
41.694091497,-87.67156677
41.866133315,-87.657320488
41.777404624,-87.648368988
41.778923367,-87.70624024
41.740953572,-87.648620933
41.881944424,-87.634195294
41.811447374,-87.667488051
41.858622451,-87.672435446
41.867204947,-87.643247924
41.770144808,-87.648174955
41.714395088,-87.564596315
41.763098893,-87.633390353
41.889918817,-87.751747153
41.749502746,-87.601106068
41.779125969,-87.692724188
41.90486704,-87.764413714
42.016529519,-87.674214297
41.968498384,-87.703130477
41.686221066,-87.658409097
41.750973348,-87.571093674
41.984834043,-87.713102584
41.682202359,-87.655441904
41.900887827,-87.754516465
41.901334494,-87.722602365
41.962106197,-87.666057818
41.873219626,-87.675868666
41.833695118,-87.618175159
41.865739569,-87.704427025
41.901692505,-87.727502852
41.926879391,-87.650766841
41.903522908,-87.730108383
41.890180418,-87.636992207
41.895457024,-87.766631235
41.755424915,-87.64780378
41.765090343,-87.600672271
41.694968292,-87.62796351
41.965547851,-87.736410649
41.874223242,-87.736005434
42.007853667,-87.686008134
41.774734785,-87.700591292
41.932252523,-87.740697637
41.930042685,-87.646492223
41.965500857,-87.736344901
41.693003603,-87.535281476
41.778015745,-87.598061446
41.743605356,-87.553980638
41.81039482,-87.745677369
41.72811844,-87.626417713
41.774640959,-87.687185395
41.930585894,-87.749632267
41.879665664,-87.704749502
41.929304847,-87.700017881
41.960973909,-87.784383295
41.859825426,-87.720108473
41.763497664,-87.705235853
41.865783217,-87.720110283
41.742641244,-87.661625734
41.691257973,-87.623064918
41.947698935,-87.803402749
41.933073108,-87.700098208
41.871397537,-87.681662755
41.850569484,-87.712529409
41.835981018,-87.724328643
41.859830378,-87.726205849
41.866843668,-87.625816668
41.829651528,-87.614451899
41.65642927,-87.547139336
41.897174047,-87.702267476
41.910624936,-87.667997673
41.896822306,-87.677690886
41.91629263,-87.692269133
41.68158672,-87.670816322
41.783340761,-87.605993706
41.982229497,-87.69502496
41.841934059,-87.632979561
41.746633882,-87.614847446
41.953200167,-87.765329611
41.964262868,-87.648305211
41.902316545,-87.749434312
41.755592351,-87.647809328
41.865154549,-87.713930253
41.902273439,-87.667860308
41.729191146,-87.574311316
41.899920176,-87.724992422
41.777042991,-87.709165862
41.729550123,-87.639788445
41.869556765,-87.71963364
41.741728501,-87.577014421
41.718115002,-87.570980276
41.946461935,-87.720797054
41.958436775,-87.715505751
41.74256713,-87.661622842
41.709914846,-87.669584301
41.800633823,-87.584420069
41.711788495,-87.650260023
41.760172477,-87.55800622
41.906477207,-87.757118325
41.888309133,-87.765140918
41.947271697,-87.728082383
41.848873261,-87.712479744
41.959139976,-87.653474266
41.953673192,-87.725860147
41.756419464,-87.563897102
41.842525529,-87.716508323
41.778340747,-87.684834834
41.887711996,-87.617139647
41.935343672,-87.654656897
41.751719202,-87.663469758
41.886800968,-87.646345969
41.953673192,-87.725860147
41.827543347,-87.677646093
41.927101339,-87.680438363
41.87967278,-87.704044395
41.851407425,-87.733887015
41.904241141,-87.694450526
41.741969488,-87.552728943
41.721200286,-87.663570699
41.688625494,-87.613256296
41.891686695,-87.627055746
41.883861425,-87.728214833
41.881673522,-87.719800467
41.882837586,-87.702169872
41.78315965,-87.612089556
41.707978614,-87.608909328
41.753567171,-87.564572519
41.681842936,-87.641183224
41.887919288,-87.628019052
41.802750621,-87.681823332
41.711672932,-87.62482895
41.944710093,-87.668801277
41.800863342,-87.664766276
41.977301201,-87.681886047
41.753050735,-87.555526554
41.969422202,-87.741088677
41.764984621,-87.610409076
41.988149018,-87.797579369
41.852886142,-87.622663364
41.76680404,-87.605619683
41.971090021,-87.684122633
41.954788917,-87.709269082
41.937990081,-87.810631829
41.734411123,-87.583973509
41.902656452,-87.727119054
41.886968562,-87.6486762
41.87102983,-87.676368411
41.738918351,-87.653420453
41.97007647,-87.651302399
41.877646737,-87.665516126
41.893112265,-87.751578616
41.775096813,-87.703047685
41.76122437,-87.610319333
41.824933076,-87.623104662
41.874744196,-87.725458878
41.887973344,-87.773318988
41.811397019,-87.671120054
41.848321812,-87.691046999
41.703941047,-87.564457187
41.88720883,-87.649852506
41.785407889,-87.730285513
41.971082789,-87.773422669
41.819016131,-87.703002406
41.767842217,-87.644482458
41.963549508,-87.718111068
41.761226178,-87.63456161
41.694337152,-87.628867473
41.922596118,-87.662016123
41.881654872,-87.703679762
41.889020121,-87.649407176
41.752441813,-87.595516831
41.691609719,-87.612124612
41.755403057,-87.640499726
41.754442135,-87.633638343
41.722458161,-87.576211117
41.940437984,-87.795784627
41.683494967,-87.624069182
41.976318498,-87.713556657
41.892273764,-87.775048039
41.770526079,-87.625065164
41.992861709,-87.700694089
41.90261354,-87.696872817
41.879601194,-87.739028873
41.930861708,-87.797188041
41.938203175,-87.67588522
41.733562332,-87.624057202
41.932827539,-87.709883798
41.891948167,-87.628073894
41.889020121,-87.649407176
41.761226178,-87.63456161
41.93984796,-87.739524656
41.966984296,-87.762552328
41.880513034,-87.743966769
41.86640116,-87.705973505
41.861758201,-87.734829254
41.728104955,-87.617149416
41.980357436,-87.71244356
41.759237422,-87.682362608
41.880510667,-87.744040233
41.859492718,-87.656472706
41.862076145,-87.658989504
41.888654974,-87.749290638
41.742900733,-87.643814722
41.874367421,-87.642789017
41.707095328,-87.628834415
41.757234418,-87.650276775
41.985536869,-87.693163885
41.885675573,-87.646761991
41.836022175,-87.651094622
42.004373175,-87.818672482
41.774428535,-87.607054913
41.957297846,-87.747421631
41.849110705,-87.70517351
41.755405707,-87.647803985
41.823908849,-87.67266782
41.759666616,-87.587297313
41.909971717,-87.773990097
41.767918344,-87.582187069
41.929239869,-87.703671385
41.970887389,-87.672655186
41.944095146,-87.640897619
41.704391927,-87.626560485
41.688969569,-87.622237032
41.767379088,-87.582816519
41.755914218,-87.601659909
41.854884404,-87.704129611
41.980202031,-87.7999851
41.852430375,-87.6320025
41.711672249,-87.629630475
41.749583769,-87.712763094
41.908780055,-87.72527201
41.726958304,-87.598534014
41.934865546,-87.644871156
41.894231478,-87.694194021
41.773087898,-87.680910159
41.836069243,-87.7182253
41.754442247,-87.633656666
41.917986079,-87.71026343
41.967166718,-87.661857257
41.881756669,-87.686445186
41.96689789,-87.746502654
41.878559121,-87.748258941
41.897277341,-87.751985258
41.873765737,-87.699296047
41.747233553,-87.599010107
41.87968721,-87.731830814
41.76972749,-87.583547963
42.007728789,-87.691134837
41.663463299,-87.621288066
41.917263857,-87.718317006
41.930745958,-87.720829837
41.977497582,-87.758747669
41.770921563,-87.573984522
41.912947243,-87.771899342
41.887748749,-87.729015487
41.729522608,-87.542881986
41.9611931,-87.783164408
41.746073351,-87.66333057
41.84294343,-87.620406275
41.750722463,-87.611276411
41.852904617,-87.708942737
41.808201741,-87.684420054
41.751044193,-87.619283884
42.011717798,-87.674488437
41.879492192,-87.746113289
41.695456983,-87.61955122
41.873393907,-87.729598676
41.980277916,-87.759936364
41.823291201,-87.670729683
41.874893779,-87.697338847
41.86990155,-87.718422415
41.86661375,-87.62413407
41.809597452,-87.60071921
41.801807599,-87.63257314
41.902028086,-87.693249362
41.961028223,-87.721312024
41.94037832,-87.663836485
41.763456466,-87.579306774
41.777767569,-87.614349722
41.884928262,-87.662399582
41.882290482,-87.652049498
41.905978575,-87.746980055
41.693654607,-87.61218232
41.889784463,-87.673098599
41.860682363,-87.725926136
41.761498648,-87.589658545
41.651431329,-87.527258234
41.791450983,-87.668168083
41.817122195,-87.616807805
41.829265828,-87.606798638
41.961313441,-87.729048864
41.707829004,-87.638000382
41.892631803,-87.618362824
41.751033274,-87.550618205
41.719737111,-87.57807819
41.992343358,-87.656483211
41.868242626,-87.70398028
41.753602854,-87.554387446
41.862473141,-87.708812942
42.007728378,-87.691061253
41.779073436,-87.615600014
41.845514695,-87.719705643
41.932116033,-87.774781589
41.816274732,-87.611630081
41.894173733,-87.621401474
41.742620493,-87.663241882
41.766517938,-87.62171857
41.76190121,-87.683167718
41.907852243,-87.630514526
41.877937797,-87.728964722
41.783036069,-87.646098128
41.930683897,-87.722057879
41.916608741,-87.673946487
41.763642864,-87.686885223
41.895201725,-87.7507112
41.725047387,-87.616644876
41.882526427,-87.624384106
41.895969571,-87.673505042
41.891948167,-87.628073894
41.972358525,-87.83974068
41.767776544,-87.660256564
41.711467804,-87.53890604
41.970827171,-87.710987978
41.760206724,-87.579231197
41.85780634,-87.627964605
41.882545904,-87.730628888
41.778733711,-87.669076775
41.735871734,-87.657534129
41.909796543,-87.652146517
41.718976794,-87.628598436
41.750179222,-87.677187993
41.692706737,-87.531664022
41.803157156,-87.607284388
41.785128164,-87.610916163
41.772159976,-87.609382704
41.961218193,-87.703665491
41.75984904,-87.574921423
41.750397942,-87.660438139
42.020281013,-87.669487049
41.971241113,-87.713444079
41.736259984,-87.628068782
41.773416489,-87.620293235
41.74866747,-87.589414545
41.942105948,-87.697906368
41.937321136,-87.788342429
41.971982676,-87.719177259
41.849009862,-87.683108569
41.879086132,-87.686376648
41.877080518,-87.726160106
41.904936985,-87.635318391
41.869963162,-87.714056394
41.891984477,-87.7592319
41.794248393,-87.628298876
41.698283501,-87.701062966
41.907925881,-87.663966278
41.929486314,-87.714679037
41.87413151,-87.743210271
41.940419827,-87.765226189
41.778877155,-87.708840106
41.991876101,-87.680519861
41.877737082,-87.660308353
41.853907042,-87.681906404
41.676106223,-87.631507849
41.89920884,-87.755703376
41.976290414,-87.905227221
41.880850198,-87.716205977
41.921415757,-87.77806803
41.800093485,-87.698863876
41.781223056,-87.735050777
41.881150318,-87.687442783
41.802747146,-87.616282132
41.882000919,-87.729275294
41.751838068,-87.734191308
41.95344601,-87.649821721
41.872420719,-87.67151126
41.782507684,-87.643104562
41.970188059,-87.716635122
41.74015201,-87.566062614
41.748270455,-87.642753174
41.93535187,-87.794386634
41.896700668,-87.762300735
41.718070071,-87.564647753
41.837941383,-87.654035667
41.742991296,-87.632025815
41.885464652,-87.659334863
41.769384861,-87.637255392
42.00552183,-87.662241448
41.743221688,-87.603797392
41.764802087,-87.576941433
41.88090279,-87.712217526
41.92670174,-87.763624447
41.740577292,-87.638966289
41.807095744,-87.745590146
41.759572773,-87.655408927
41.694954571,-87.62796366
41.739005298,-87.642691231
41.79639731,-87.723251281
41.776835352,-87.688464868
41.856790413,-87.708424071
41.902443046,-87.740381959
41.83090236,-87.704647061
41.880656472,-87.731410446
41.766364361,-87.649296531
41.893985382,-87.759302131
41.775771141,-87.733664322
41.67890298,-87.634706134
41.702872035,-87.634263635
41.771531518,-87.70296528
41.77268594,-87.605758495
41.970860678,-87.763418662
41.782748578,-87.648506441
41.850354375,-87.676326755
41.927253807,-87.650046265
41.799561786,-87.617722291
41.890691679,-87.669570813
41.783261401,-87.719320601
41.855852991,-87.674736126
41.897765868,-87.75199552
41.87584156,-87.74811115
41.885172377,-87.637024557
41.906877029,-87.723996951
41.967637691,-87.723124095
41.817982975,-87.603584149
41.663403306,-87.625793875
41.906823047,-87.640885421
41.87579865,-87.751548394
41.828762287,-87.614436164
41.787074218,-87.615789456
41.793173207,-87.690127358
41.97429564,-87.67312378
41.86412349,-87.711535582
41.778384336,-87.604656531
41.72242751,-87.578643769
41.908780055,-87.72527201
41.873914133,-87.658868752
41.877552552,-87.671050727
41.804217406,-87.675797022
41.903077492,-87.683673325
41.931946287,-87.76258551
41.990986471,-87.687220068
41.71265542,-87.621723315
41.870771699,-87.721031898
41.711364286,-87.602711049
41.890885387,-87.673182753
41.903077492,-87.683673325
41.687904046,-87.648323378
41.763738158,-87.622636324
41.756915514,-87.710541076
41.861574074,-87.723821536
41.742944624,-87.614701699
41.6848407,-87.660286954
41.869564997,-87.719633561
41.882184564,-87.768599327
41.85108647,-87.707668427
41.780791942,-87.763058939
41.966806189,-87.650053986
41.834475931,-87.704744192
41.757614433,-87.586115266
41.702623181,-87.619673379
41.895969571,-87.673505042
41.985445057,-87.689505055
41.732979635,-87.56954422
41.840672583,-87.629084946
