"ObjectID","Mapped","Crash Date","City/Town","Address","AOT Route","Crash Type","Collision Direction","Weather","Road Group","Report Number","Reporting Agency","Road Group ID","AOT Actual Milepoint","Animal","Time of Day","Intersection With","Impairment","Involving","Non Reportable Address","Reporting Agency ID","Road Characteristics","Road Condition","Street Address","Surface Condition","AOT Route ID","Coordinates"
"123202","","January 5, 2015, 9:06 PM","Milton","US-7 (133 Route 7 North)","US-7","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","2015MT000125","Milton PD.","1","6.27","Deer","Day","Lake Road","None","None","","VT0040600","Not at a Junction","None","US-7 (133 Route 7 North)","Dry","0070","44.65697231172414,-73.11330190185053"
"123272","","January 7, 2015, 10:00 AM","Coventry","","VT-105","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15B200064","VSP - B2 Derby","1","0.4","Deer","Night","Petit Rd","None","None","","VTVSP0800","Not at a Junction","None","","Dry","1050","44.92961494647229,-72.26034027834157"
"11303","","January 10, 2015, 7:49 AM","Milton","East Rd","TOWN ROAD 0005","Property Damage Only","Single Vehicle Crash","Cloudy","City, Village or Urban Compact Street not in FA Urban Area (Class 2 and 3 Non-Federal Aid)","2015MT000214","Milton PD.","6","999.99","Deer","Night","Hardscrabble Road","None","None","","VT0040600","Not at a Junction","None","East Rd","Dry","T0005","44.627532593516875,-73.10084675765533"
"123498","","January 11, 2015, 2:00 AM","Dummerston","I-91SB","I-91","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15D200092","VSP - D2 Brattleboro (VOID)","1","16.24","Deer","Day","MM 16/25 SB","None","None","","VTVSP1000","Not at a Junction","None","I-91SB","Dry","0910","42.94353391770237,-72.52954336219592"
"123465","","January 11, 2015, 8:21 AM","Johnson","Vt Rt 15","VT-15","Property Damage Only","Single Vehicle Crash","Cloudy","State System (State Highways and Class I TH links)","15LC000162","Lamoille County SD","1","6.21","Deer","Night","Maple Hill Road","None","None","","VT0080000","Not at a Junction","None","Vt Rt 15","Dry","0150","44.61386188930483,-72.65715337942768"
"123504","","January 11, 2015, 12:37 PM","Rockingham","I-91 SB","I-91","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15D100103","VSP - D1 Rockingham (VOID)","1","35.35","Deer","Night","Route 103 (bridge)","None","None","","VTVSP0400","Not at a Junction","None","I-91 SB","Dry","0910","43.18078539289336,-72.4633881733634"
"123686","","January 12, 2015, 6:49 AM","Northfield","748 Vt Rte 12 A","VT-12A","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15NF00054","Northfield PD.","1","4.11","Deer","Day","Lover's Lane","None","None","","VT0120300","Not at a Junction","None","748 Vt Rte 12 A","Dry","0121","44.12986402355396,-72.66266718921538"
"123741","","January 14, 2015, 12:57 PM","Richmond","I 89 N","I-89","Injury","Single Vehicle Crash","Cloudy","State System (State Highways and Class I TH links)","15A100212","VSP - A1 Williston","1","76.25","Deer","Night","Milemarker 76/25","None","None","","VTVSP0100","Crossover","None","I 89 N","Dry","0890","44.40091949466268,-72.98445970603618"
"123947","","January 16, 2015, 1:06 AM","Chester","VT RT 103 North","VT-103","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15CH00050","Chester PD.","1","9","Deer","Day","MM9","None","None","","VT0140600","Not at a Junction","None","VT RT 103 North","","1030","43.33988782966011,-72.61883260673363"
"4761","","January 16, 2015, 9:13 AM","Colchester","FAU-5600(574 Prim Road)","VT. 127 TH","Property Damage Only","Head On","Clear","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","15CC000464","Colchester PD.","2","1.64","Deer","Night","","None","None","","VT0040500","Not at a Junction","None","FAU-5600(574 Prim Road)","Dry","U5600","44.54399785771957,-73.23934450832057"
"124154","","January 16, 2015, 1:00 PM","Brattleboro","TH-24 Pleasant Valley Rd","TOWN ROAD 0024","Property Damage Only","","Unknown","City, Village or Urban Compact Street not in FA Urban Area (Class 2 and 3 Non-Federal Aid)","15BB00406","Brattleboro PD.","6","999.99","Deer","","Pleadant Valley Rd","None","None","","VT0130200","Not at a Junction","","TH-24 Pleasant Valley Rd","","T0024","42.89597914215777,-72.62190465223684"
"124090","","January 17, 2015, 4:39 AM","Sharon","FAS-177","FAS 0177","Property Damage Only","Single Vehicle Crash","Clear","Federal Aid Secondary System (Class 2 TH)","15RY00037","Royalton PD.","3","6.63","Deer","Day","Cowslip Hill Rd","None","None","","VT0141100","Not at a Junction","Obstruction in roadway","FAS-177","Dry","S0177","43.81700394569328,-72.41039707499198"
"124179","","January 18, 2015, 6:36 AM","Weathersfield","","VT-131","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15D100172","VSP - D1 Rockingham (VOID)","1","5.01","Deer","Day","Cascade Falls Rd","None","None","","VTVSP0400","Not at a Junction","None","","Dry","1310","43.420587438074826,-72.46850771787233"
"11183","","January 19, 2015, 1:30 PM","Coventry","I-91 NB","I-91","Property Damage Only","Single Vehicle Crash","Freezing Precipitation","State System (State Highways and Class I TH links)","15B200178","VSP - B2 Derby","1","999.99","Deer","Night","Exit 27","None","None","","VTVSP0800","Not at a Junction","Road Surface Condition(wet, icy, snow, slush, etc)","I-91 NB","Snow","0910","44.89188314928477,-72.17251297178898"
